datamonth,year,month,season,age, tripduration_mins ,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
12/1/2018,2018,12,Winter, 44 , 1.70 ,102,24:39.9,26:22.7,3184,Paulus Hook,40.7141454,-74.0335519,3183,Exchange Place,40.7162469,-74.0334588,29296,Subscriber,1974,1
12/1/2018,2018,12,Winter, 60 , 5.52 ,331,38:23.6,43:55.0,3184,Paulus Hook,40.7141454,-74.0335519,3638,Washington St,40.7242941,-74.0354826,26284,Subscriber,1958,1
12/1/2018,2018,12,Winter, 64 , 1.33 ,80,25:43.5,27:04.2,3184,Paulus Hook,40.7141454,-74.0335519,3183,Exchange Place,40.7162469,-74.0334588,26244,Subscriber,1954,2
12/1/2018,2018,12,Winter, 25 , 2.77 ,166,28:15.3,31:01.6,3184,Paulus Hook,40.7141454,-74.0335519,3214,Essex Light Rail,40.7127742,-74.0364857,26220,Subscriber,1993,1
12/1/2018,2018,12,Winter, 42 , 7.55 ,453,03:31.1,11:04.7,3184,Paulus Hook,40.7141454,-74.0335519,3199,Newport Pkwy,40.7287448,-74.0321082,29542,Subscriber,1976,1
12/1/2018,2018,12,Winter, 36 , 11.27 ,676,44:25.8,55:41.9,3184,Paulus Hook,40.7141454,-74.0335519,3279,Dixon Mills,40.72163014,-74.04996783,29542,Subscriber,1982,1
12/1/2018,2018,12,Winter, 35 , 3.18 ,191,08:30.7,11:42.4,3184,Paulus Hook,40.7141454,-74.0335519,3639,Harborside,40.7192517,-74.034234,26212,Subscriber,1983,1
12/1/2018,2018,12,Winter, 27 , 5.18 ,311,14:00.8,19:12.2,3184,Paulus Hook,40.7141454,-74.0335519,3275,Columbus Drive,40.7183552,-74.03891444,29480,Subscriber,1991,1
12/1/2018,2018,12,Winter, 35 , 4.90 ,294,17:02.2,21:56.8,3184,Paulus Hook,40.7141454,-74.0335519,3276,Marin Light Rail,40.71458404,-74.04281706,29577,Subscriber,1983,2
12/1/2018,2018,12,Winter, 38 , 7.53 ,452,57:37.1,05:09.5,3184,Paulus Hook,40.7141454,-74.0335519,3199,Newport Pkwy,40.7287448,-74.0321082,26248,Subscriber,1980,1
12/1/2018,2018,12,Winter, 41 , 12.88 ,773,15:17.7,28:10.8,3184,Paulus Hook,40.7141454,-74.0335519,3270,Jersey & 6th St,40.72528911,-74.04557168,26187,Subscriber,1977,1
12/1/2018,2018,12,Winter, 54 , 9.87 ,592,45:40.8,55:33.4,3184,Paulus Hook,40.7141454,-74.0335519,3203,Hamilton Park,40.72759597,-74.04424731,29612,Customer,1964,1
12/1/2018,2018,12,Winter, 30 , 6.18 ,371,05:41.6,11:53.2,3184,Paulus Hook,40.7141454,-74.0335519,3205,JC Medical Center,40.71653978,-74.04963791,29525,Subscriber,1988,1
12/1/2018,2018,12,Winter, 32 , 6.05 ,363,45:10.1,51:13.7,3184,Paulus Hook,40.7141454,-74.0335519,3187,Warren St,40.7211236,-74.03805095,26219,Subscriber,1986,2
12/1/2018,2018,12,Winter, 23 , 4.10 ,246,52:31.9,56:38.1,3184,Paulus Hook,40.7141454,-74.0335519,3186,Grove St PATH,40.71958612,-74.04311746,29483,Subscriber,1995,1
12/1/2018,2018,12,Winter, 33 , 4.65 ,279,14:22.7,19:01.7,3184,Paulus Hook,40.7141454,-74.0335519,3275,Columbus Drive,40.7183552,-74.03891444,29507,Subscriber,1985,1
12/1/2018,2018,12,Winter, 50 , 4.50 ,270,16:51.0,21:21.5,3184,Paulus Hook,40.7141454,-74.0335519,3481,York St,40.71649,-74.04105,26211,Subscriber,1968,2
12/1/2018,2018,12,Winter, 25 , 3.35 ,201,00:22.5,03:44.2,3184,Paulus Hook,40.7141454,-74.0335519,3267,Morris Canal,40.71241882,-74.03852552,29503,Subscriber,1993,1
